id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id
439,mime-jr,4,,57,6,12,,4,145,70,1,25,0,2
440,happiny,4,,51,6,12,,8,130,140,1,40,0,3
441,chatot,4,,228,1,9,,4,30,35,0,20,0,4
442,spiritomb,4,,229,7,5,,4,100,70,0,30,0,2
443,gible,4,,230,2,6,,4,45,70,0,40,1,1
444,gabite,4,443,230,2,6,,4,45,70,0,40,1,1
445,garchomp,4,444,230,2,6,,4,45,70,0,40,1,1
446,munchlax,4,,72,1,12,,1,50,70,1,40,0,1
447,riolu,4,,232,2,6,,1,75,70,1,25,0,4
448,lucario,4,447,232,2,6,,1,45,70,0,25,0,4
449,hippopotas,4,,233,3,8,,4,140,70,0,30,1,1
450,hippowdon,4,449,233,3,8,,4,60,70,0,30,1,1
451,skorupi,4,,234,7,14,,4,120,70,0,20,0,1
452,drapion,4,451,234,7,14,,4,45,70,0,20,0,1
453,croagunk,4,,235,2,12,,4,140,100,0,10,1,2
454,toxicroak,4,453,235,2,12,,4,75,70,0,20,1,2
455,carnivine,4,,236,5,10,,4,200,70,0,25,0,1
456,finneon,4,,237,2,3,,4,190,70,0,20,1,5
457,lumineon,4,456,237,2,3,,4,75,70,0,20,1,5
458,mantyke,4,,116,2,9,,4,25,70,1,25,0,1
459,snover,4,,239,9,6,,4,120,70,0,20,1,1
460,abomasnow,4,459,239,9,6,,4,60,70,0,20,1,1
461,weavile,4,215,109,1,6,,4,45,35,0,20,1,4
462,magnezone,4,82,34,4,4,,-1,30,70,0,20,0,2
463,lickilicky,4,108,48,6,12,,4,30,70,0,20,0,2
464,rhyperior,4,112,50,4,6,,4,30,70,0,20,1,1
465,tangrowth,4,114,52,2,12,,4,30,70,0,20,1,2
466,electivire,4,125,60,10,6,,2,30,70,0,25,0,2
467,magmortar,4,126,61,8,6,,2,30,70,0,25,0,2
468,togekiss,4,176,87,9,9,,1,30,70,0,10,0,3
469,yanmega,4,193,95,5,13,,4,30,70,0,20,0,2
470,leafeon,4,133,67,5,8,,1,45,35,0,35,0,2
471,glaceon,4,133,67,2,8,,1,45,35,0,35,0,2
472,gliscor,4,207,104,7,9,,4,30,70,0,20,0,4
473,mamoswine,4,221,112,3,8,,4,50,70,0,20,1,1
474,porygon-z,4,233,68,8,4,,-1,30,70,0,20,0,2
475,gallade,4,281,140,9,12,,0,45,35,0,20,0,1
476,probopass,4,299,147,4,11,,4,60,70,0,20,0,2
477,dusknoir,4,356,182,1,4,,4,45,35,0,25,0,3
478,froslass,4,361,186,9,4,,8,75,70,0,20,0,2
479,rotom,4,,240,8,1,,-1,45,70,0,20,0,2
480,uxie,4,,241,10,6,,-1,3,140,0,80,0,1
481,mesprit,4,,242,6,6,,-1,3,140,0,80,0,1
482,azelf,4,,243,2,6,,-1,3,140,0,80,0,1
483,dialga,4,,244,9,8,,-1,30,0,0,120,0,1
484,palkia,4,,245,7,6,,-1,30,0,0,120,0,1
485,heatran,4,,246,3,8,,4,3,100,0,10,0,1
486,regigigas,4,,247,9,12,,-1,3,0,0,120,0,1
487,giratina,4,,248,1,10,,-1,3,0,0,120,0,1
488,cresselia,4,,249,10,14,,8,3,100,0,120,0,1
489,phione,4,,250,2,4,,-1,30,70,0,40,0,1
490,manaphy,4,,250,2,12,,-1,3,70,0,10,0,1
491,darkrai,4,,252,1,12,,-1,3,0,0,120,0,1
492,shaymin,4,,253,5,8,,-1,45,100,0,120,0,4
493,arceus,4,,254,4,8,,-1,3,0,0,120,0,1
494,victini,5,,255,10,12,,-1,3,100,0,120,0,1
495,snivy,5,,256,5,6,,1,45,70,0,20,0,4
496,servine,5,495,256,5,6,,1,45,70,0,20,0,4
497,serperior,5,496,256,5,2,,1,45,70,0,20,0,4
498,tepig,5,,257,8,8,,1,45,70,0,20,0,4
499,pignite,5,498,257,8,6,,1,45,70,0,20,0,4
500,emboar,5,499,257,8,6,,1,45,70,0,20,0,4
501,oshawott,5,,258,2,6,,1,45,70,0,20,0,4
502,dewott,5,501,258,2,6,,1,45,70,0,20,0,4
503,samurott,5,502,258,2,8,,1,45,70,0,20,0,4
504,patrat,5,,259,3,8,,4,255,70,0,15,0,2
505,watchog,5,504,259,3,6,,4,255,70,0,20,0,2
506,lillipup,5,,260,3,8,,4,255,70,0,15,0,4
507,herdier,5,506,260,4,8,,4,120,70,0,15,0,4
508,stoutland,5,507,260,4,8,,4,45,70,0,15,0,4
509,purrloin,5,,261,7,8,,4,255,70,0,20,0,2
510,liepard,5,509,261,7,8,,4,90,70,0,20,0,2
511,pansage,5,,262,5,6,,1,190,70,0,20,0,2
512,simisage,5,511,262,5,6,,1,75,70,0,20,0,2
513,pansear,5,,263,8,6,,1,190,70,0,20,0,2
514,simisear,5,513,263,8,6,,1,75,70,0,20,0,2
515,panpour,5,,264,2,6,,1,190,70,0,20,0,2
516,simipour,5,515,264,2,6,,1,75,70,0,20,0,2
517,munna,5,,265,6,8,,4,190,70,0,10,0,3
518,musharna,5,517,265,6,12,,4,75,70,0,10,0,3
519,pidove,5,,266,4,9,,4,255,70,0,15,0,4
520,tranquill,5,519,266,4,9,,4,120,70,0,15,0,4
521,unfezant,5,520,266,4,9,,4,45,70,0,15,1,4
522,blitzle,5,,267,1,8,,4,190,70,0,20,0,2
523,zebstrika,5,522,267,1,8,,4,75,70,0,20,0,2
524,roggenrola,5,,268,2,7,,4,255,70,0,15,0,4
525,boldore,5,524,268,2,10,,4,120,70,0,15,0,4
526,gigalith,5,525,268,2,10,,4,45,70,0,15,0,4
527,woobat,5,,269,2,9,,4,190,70,0,15,0,2
528,swoobat,5,527,269,2,9,,4,45,70,0,15,0,2
529,drilbur,5,,270,4,6,,4,120,70,0,20,0,2
530,excadrill,5,529,270,4,12,,4,60,70,0,20,0,2
531,audino,5,,271,6,6,,4,255,70,0,20,0,3
532,timburr,5,,272,4,12,,2,180,70,0,20,0,4
533,gurdurr,5,532,272,4,12,,2,90,70,0,20,0,4
534,conkeldurr,5,533,272,3,12,,2,45,70,0,20,0,4
535,tympole,5,,273,2,3,,4,255,70,0,20,0,4
536,palpitoad,5,535,273,2,6,,4,120,70,0,20,0,4
537,seismitoad,5,536,273,2,12,,4,45,70,0,20,0,4
538,throh,5,,274,8,12,,0,45,70,0,20,0,2
539,sawk,5,,275,2,12,,0,45,70,0,20,0,2
540,sewaddle,5,,276,10,14,,4,255,70,0,15,0,4
541,swadloon,5,540,276,5,4,,4,120,70,0,15,0,4
542,leavanny,5,541,276,10,12,,4,45,70,0,15,0,4
543,venipede,5,,277,8,14,,4,255,70,0,15,0,4
544,whirlipede,5,543,277,4,1,,4,120,70,0,15,0,4
545,scolipede,5,544,277,8,14,,4,45,70,0,20,0,4
546,cottonee,5,,278,5,1,,4,190,70,0,20,0,2
547,whimsicott,5,546,278,5,12,,4,75,70,0,20,0,2
548,petilil,5,,279,5,5,,8,190,70,0,20,0,2
549,lilligant,5,548,279,5,5,,8,75,70,0,20,0,2
550,basculin,5,,280,5,3,,4,25,70,0,40,0,2
551,sandile,5,,281,3,8,,4,180,70,0,20,0,4
552,krokorok,5,551,281,3,8,,4,90,70,0,20,0,4
553,krookodile,5,552,281,8,6,,4,45,70,0,20,0,4
554,darumaka,5,,282,8,12,,4,120,70,0,20,0,4
555,darmanitan,5,554,282,8,8,,4,60,70,0,20,0,4
556,maractus,5,,283,5,5,,4,255,70,0,20,0,2
557,dwebble,5,,284,8,14,,4,190,70,0,20,0,2
558,crustle,5,557,284,8,14,,4,75,70,0,20,0,2
559,scraggy,5,,285,10,6,,4,180,35,0,15,0,2
560,scrafty,5,559,285,8,6,,4,90,70,0,15,0,2
561,sigilyph,5,,286,1,9,,4,45,70,0,20,0,2
562,yamask,5,,287,1,4,,4,190,70,0,25,0,2
563,cofagrigus,5,562,287,10,5,,4,90,70,0,25,0,2
564,tirtouga,5,,288,2,8,,1,45,70,0,30,0,2
565,carracosta,5,564,288,2,6,,1,45,70,0,30,0,2
566,archen,5,,289,10,9,,1,45,70,0,30,0,2
567,archeops,5,566,289,10,9,,1,45,70,0,30,0,2
568,trubbish,5,,290,5,12,,4,190,70,0,20,0,2
569,garbodor,5,568,290,5,12,,4,60,70,0,20,0,2
570,zorua,5,,291,4,8,,1,75,70,0,25,0,4
571,zoroark,5,570,291,4,6,,1,45,70,0,20,0,4
572,minccino,5,,292,4,8,,6,255,70,0,15,0,3
573,cinccino,5,572,292,4,8,,6,60,70,0,15,0,3
574,gothita,5,,293,7,12,,6,200,70,0,20,0,4
575,gothorita,5,574,293,7,12,,6,100,70,0,20,0,4
576,gothitelle,5,575,293,7,12,,6,50,70,0,20,0,4
577,solosis,5,,294,5,1,,4,200,70,0,20,0,4
578,duosion,5,577,294,5,1,,4,100,70,0,20,0,4
579,reuniclus,5,578,294,5,4,,4,50,70,0,20,0,4
580,ducklett,5,,295,2,9,,4,190,70,0,20,0,2
581,swanna,5,580,295,9,9,,4,45,70,0,20,0,2
582,vanillite,5,,296,9,5,,4,255,70,0,20,0,1
583,vanillish,5,582,296,9,5,,4,120,70,0,20,0,1
584,vanilluxe,5,583,296,9,11,,4,45,70,0,20,0,1
585,deerling,5,,297,10,8,,4,190,70,0,20,0,2
586,sawsbuck,5,585,297,3,8,,4,75,70,0,20,0,2
587,emolga,5,,298,9,8,,4,200,70,0,20,0,2
588,karrablast,5,,299,2,12,,4,200,70,0,15,0,2
589,escavalier,5,588,299,4,4,,4,75,70,0,15,0,2
590,foongus,5,,300,9,4,,4,190,70,0,20,0,2
591,amoonguss,5,590,300,9,4,,4,75,70,0,20,0,2
592,frillish,5,,301,9,10,,4,190,70,0,20,1,2
593,jellicent,5,592,301,9,10,,4,60,70,0,20,1,2
594,alomomola,5,,302,6,3,,4,75,70,0,40,0,3
595,joltik,5,,303,10,14,,4,190,70,0,20,0,2
596,galvantula,5,595,303,10,14,,4,75,70,0,20,0,2
597,ferroseed,5,,304,4,1,,4,255,70,0,20,0,2
598,ferrothorn,5,597,304,4,10,,4,90,70,0,20,0,2
599,klink,5,,305,4,11,,-1,130,70,0,20,0,4
600,klang,5,599,305,4,11,,-1,60,70,0,20,0,4
601,klinklang,5,600,305,4,11,,-1,30,70,0,20,0,4
602,tynamo,5,,306,9,3,,4,190,70,0,20,0,1
603,eelektrik,5,602,306,2,3,,4,60,70,0,20,0,1
604,eelektross,5,603,306,2,3,,4,30,70,0,20,0,1
605,elgyem,5,,307,2,6,,4,255,70,0,20,0,2
606,beheeyem,5,605,307,3,12,,4,90,70,0,20,0,2
607,litwick,5,,308,9,5,,4,190,70,0,20,0,4
608,lampent,5,607,308,1,4,,4,90,70,0,20,0,4
609,chandelure,5,608,308,1,4,,4,45,70,0,20,0,4
610,axew,5,,309,5,6,,4,75,35,0,40,0,1
611,fraxure,5,610,309,5,6,,4,60,35,0,40,0,1
612,haxorus,5,611,309,10,6,,4,45,35,0,40,0,1
613,cubchoo,5,,310,9,6,,4,120,70,0,20,0,2
614,beartic,5,613,310,9,8,,4,60,70,0,20,0,2
615,cryogonal,5,,311,2,1,,-1,25,70,0,25,0,2
616,shelmet,5,,312,8,1,,4,200,70,0,15,0,2
617,accelgor,5,616,312,8,4,,4,75,70,0,15,0,2
618,stunfisk,5,,313,3,3,,4,75,70,0,20,0,2
619,mienfoo,5,,314,10,6,,4,180,70,0,25,0,4
620,mienshao,5,619,314,7,6,,4,45,70,0,25,0,4
621,druddigon,5,,315,8,6,,4,45,70,0,30,0,2
622,golett,5,,316,5,12,,-1,190,70,0,25,0,2
623,golurk,5,622,316,5,12,,-1,90,70,0,25,0,2
624,pawniard,5,,317,8,12,,4,120,35,0,20,0,2
625,bisharp,5,624,317,8,12,,4,45,35,0,20,0,2
626,bouffalant,5,,318,3,8,,4,45,70,0,20,0,2
627,rufflet,5,,319,9,9,,0,190,70,0,20,0,1
628,braviary,5,627,319,8,9,,0,60,70,0,20,0,1
629,vullaby,5,,320,3,9,,8,190,35,0,20,0,1
630,mandibuzz,5,629,320,3,9,,8,60,35,0,20,0,1
631,heatmor,5,,321,8,6,,4,90,70,0,20,0,2
632,durant,5,,322,4,14,,4,90,70,0,20,0,2
633,deino,5,,323,2,8,,4,45,35,0,40,0,1
634,zweilous,5,633,323,2,8,,4,45,35,0,40,0,1
635,hydreigon,5,634,323,2,6,,4,45,35,0,40,0,1
636,larvesta,5,,324,9,14,,4,45,70,0,40,0,1
637,volcarona,5,636,324,9,13,,4,15,70,0,40,0,1
638,cobalion,5,,325,2,8,,-1,3,35,0,80,0,1
639,terrakion,5,,326,4,8,,-1,3,35,0,80,0,1
640,virizion,5,,327,5,8,,-1,3,35,0,80,0,1
641,tornadus,5,,328,5,4,,0,3,90,0,120,0,1
642,thundurus,5,,329,2,4,,0,3,90,0,120,0,1
643,reshiram,5,,330,9,9,,-1,45,0,0,120,0,1
644,zekrom,5,,331,1,6,,-1,45,0,0,120,0,1
645,landorus,5,,332,3,4,,0,3,90,0,120,0,1
646,kyurem,5,,333,4,6,,-1,3,0,0,120,0,1
647,keldeo,5,,334,10,8,,-1,3,35,0,80,0,1
648,meloetta,5,,335,9,12,,-1,3,100,0,120,0,1
649,genesect,5,,336,7,12,,-1,3,0,0,120,0,1
650,chespin,6,,337,5,6,,1,45,70,0,20,0,4
651,quilladin,6,650,337,5,6,,1,45,70,0,20,0,4
652,chesnaught,6,651,337,5,6,,1,45,70,0,20,0,4
653,fennekin,6,,338,8,8,,1,45,70,0,20,0,4
654,braixen,6,653,338,8,6,,1,45,70,0,20,0,4
655,delphox,6,654,338,8,6,,1,45,70,0,20,0,4
656,froakie,6,,339,2,8,,1,45,70,0,20,0,4
657,frogadier,6,656,339,2,12,,1,45,70,0,20,0,4
658,greninja,6,657,339,2,12,,1,45,70,0,20,0,4
659,bunnelby,6,,340,3,6,,4,255,70,0,15,0,2
660,diggersby,6,659,340,3,6,,4,127,70,0,15,0,2
661,fletchling,6,,341,8,9,,4,255,70,0,15,0,4
662,fletchinder,6,661,341,8,9,,4,120,70,0,15,0,4
663,talonflame,6,662,341,8,9,,4,45,70,0,15,0,4
664,scatterbug,6,,342,1,14,,4,255,70,0,15,0,2
665,spewpa,6,664,342,1,5,,4,120,70,0,15,0,2
666,vivillon,6,665,342,1,13,,4,45,70,0,15,0,2
667,litleo,6,,343,3,8,,7,220,70,0,20,0,4
668,pyroar,6,667,343,3,8,,7,65,70,0,20,1,4
669,flabebe,6,,344,9,4,,8,225,70,0,20,0,2
670,floette,6,669,344,9,4,,8,120,70,0,20,0,2
671,florges,6,670,344,9,4,,8,45,70,0,20,0,2
672,skiddo,6,,345,3,8,,4,200,70,0,20,0,2
673,gogoat,6,672,345,3,8,,4,45,70,0,20,0,2
674,pancham,6,,346,9,6,,4,220,70,0,25,0,2
675,pangoro,6,674,346,9,12,,4,65,70,0,25,0,2
676,furfrou,6,,347,9,8,,4,160,70,0,20,0,2
677,espurr,6,,348,4,6,,4,190,70,0,20,0,2
678,meowstic,6,677,348,9,6,,4,75,70,0,20,1,2
679,honedge,6,,349,3,5,,4,180,70,0,20,0,2
680,doublade,6,679,349,3,11,,4,90,70,0,20,0,2
681,aegislash,6,680,349,3,5,,4,45,70,0,20,0,2
682,spritzee,6,,350,6,4,,4,200,70,0,20,0,2
683,aromatisse,6,682,350,6,12,,4,140,70,0,20,0,2
684,swirlix,6,,351,9,7,,4,200,70,0,20,0,2
685,slurpuff,6,684,351,9,12,,4,140,70,0,20,0,2
686,inkay,6,,352,2,10,,4,190,70,0,20,0,2
687,malamar,6,686,352,2,5,,4,80,70,0,20,0,2
688,binacle,6,,353,3,11,,4,120,70,0,20,0,2
689,barbaracle,6,688,353,3,11,,4,45,70,0,20,0,2
690,skrelp,6,,354,3,5,,4,225,70,0,20,0,2
691,dragalge,6,690,354,3,5,,4,55,70,0,20,0,2
692,clauncher,6,,355,2,14,,4,225,70,0,15,0,1
693,clawitzer,6,692,355,2,2,,4,55,70,0,15,0,1
694,helioptile,6,,356,10,6,,4,190,70,0,20,0,2
695,heliolisk,6,694,356,10,6,,4,75,70,0,20,0,2
696,tyrunt,6,,357,3,6,,1,45,70,0,30,0,2
697,tyrantrum,6,696,357,8,6,,1,45,70,0,30,0,2
698,amaura,6,,358,2,8,,1,45,70,0,30,0,2
699,aurorus,6,698,358,2,8,,1,45,70,0,30,0,2
700,sylveon,6,133,67,6,8,,1,45,70,0,35,0,2
701,hawlucha,6,,359,5,12,,4,100,70,0,20,0,2
702,dedenne,6,,360,10,6,,4,180,70,0,20,0,2
703,carbink,6,,361,4,1,,-1,60,70,0,25,0,1
704,goomy,6,,362,7,2,,4,45,35,0,40,0,1
705,sliggoo,6,704,362,7,2,,4,45,35,0,40,0,1
706,goodra,6,705,362,7,6,,4,45,35,0,40,0,1
707,klefki,6,,363,4,1,,4,75,70,0,20,0,3
708,phantump,6,,364,3,4,,4,120,70,0,20,0,2
709,trevenant,6,708,364,3,10,,4,60,70,0,20,0,2
710,pumpkaboo,6,,365,3,1,,4,120,70,0,20,0,2
711,gourgeist,6,710,365,3,5,,4,60,70,0,20,0,2
712,bergmite,6,,366,2,8,,4,190,70,0,20,0,2
713,avalugg,6,712,366,2,8,,4,55,70,0,20,0,2
714,noibat,6,,367,7,9,,4,190,70,0,20,0,2
715,noivern,6,714,367,7,9,,4,45,70,0,20,0,2
716,xerneas,6,,368,2,8,,-1,45,0,0,120,0,1
717,yveltal,6,,369,8,9,,-1,45,0,0,120,0,1
718,zygarde,6,,370,5,2,,-1,3,0,0,120,0,1
719,diancie,6,,371,6,4,,-1,3,70,0,25,0,1
720,hoopa,6,,372,7,1,,-1,3,100,0,120,0,1
721,volcanion,6,,373,3,1,,-1,3,100,0,120,0,1
